CustomerID,Monetary,Frequency,Recency,ProductVariety,CancellationRate,Place
12347.0,25.239670329670318,182,1,24,0,Home
12348.0,55.54222222222223,27,74,24,0,Home
12349.0,20.152083333333334,72,18,24,0,Home
12350.0,17.5375,16,309,24,0,Home
12352.0,17.77940476190476,84,35,24,0,Home
12353.0,22.25,4,203,24,0,Home
12354.0,18.610344827586207,58,231,24,0,Home
12355.0,35.33846153846154,13,213,24,0,Home
12356.0,45.324655172413806,58,22,24,0,Home
12357.0,51.366030534351154,131,32,105,0,Home
12358.0,58.38941176470588,17,1,105,0,Home
12359.0,27.100511811023637,254,7,105,0,Home
12360.0,18.556031746031753,126,51,105,0,Home
12361.0,19.433333333333337,9,286,105,0,Home
12362.0,18.138181818181835,264,2,105,0,Home
12363.0,24.0,23,109,105,0,Home
12364.0,15.04814814814815,81,7,105,0,Home
12365.0,15.27095238095238,21,290,105,0,Home
12367.0,15.09,10,3,105,0,Home
12370.0,20.45451807228914,166,50,105,0,Home
12371.0,22.128387096774198,62,59,105,0,Home
12372.0,24.40897959183674,49,71,105,0,Home
12373.0,25.93846153846154,13,310,105,0,Home
12374.0,19.4665625,32,24,105,0,Home
12375.0,23.723750000000006,16,2,105,0,Home
12377.0,19.74578947368421,76,314,105,0,Home
12378.0,18.316255707762565,219,129,114,0,Abroad
12379.0,20.471538461538454,39,81,114,0,Abroad
12380.0,25.05584158415841,101,21,114,0,Abroad
12381.0,17.657674418604657,86,4,114,0,Abroad
12383.0,17.442631578947363,95,184,114,0,Abroad
12384.0,15.806428571428569,28,28,114,0,Abroad
12386.0,41.39,10,337,114,0,Abroad
12388.0,27.990600000000004,100,15,114,0,Abroad
12390.0,16.28516129032258,31,79,114,0,Abroad
12391.0,4.608899999999999,100,21,114,0,Abroad
12393.0,25.56875,64,71,114,0,Abroad
12394.0,48.672,25,63,114,0,Abroad
12395.0,19.53170068027211,147,15,114,0,Abroad
12397.0,17.85725806451613,124,35,114,0,Abroad
12398.0,16.55404761904762,84,45,114,0,Abroad
12399.0,18.793636363636367,55,118,114,0,Abroad
12401.0,17.325,4,302,114,0,Abroad
12402.0,20.21,10,322,114,0,Abroad
12403.0,97.925,4,49,114,0,Abroad
12405.0,26.23377358490567,53,148,24,0,Home
12406.0,33.73805555555556,108,21,24,0,Home
12407.0,20.74333333333333,72,49,24,0,Home
12408.0,25.151574074074087,108,32,24,0,Home
12409.0,109.70517543859647,114,78,24,0,Home
12410.0,20.206666666666663,27,300,24,0,Home
12412.0,19.739310344827583,58,74,24,0,Home
12413.0,18.8472972972973,37,66,24,0,Home
12414.0,29.686,15,216,24,0,Home
12415.0,185.97717981888732,773,23,24,0,Home
12417.0,17.071428571428573,189,2,24,0,Home
12418.0,20.34647058823529,34,112,24,0,Home
12420.0,20.703103448275865,29,63,24,0,Home
12421.0,15.276097560975616,41,15,24,0,Home
12422.0,19.404210526315783,38,95,24,0,Home
12423.0,14.720593220338987,118,0,24,0,Home
12424.0,61.29066666666666,30,162,24,0,Home
12425.0,21.58888888888889,36,77,24,0,Home
12426.0,17.611379310344827,29,194,24,0,Home
12427.0,26.927812500000005,32,11,1,0,Home
12428.0,21.787328767123306,292,25,24,0,Home
12429.0,37.457021276595746,94,8,24,0,Home
12430.0,21.4,10,42,24,0,Home
12431.0,28.308987341772156,237,35,24,0,Home
12432.0,41.484485981308424,107,42,24,0,Home
12433.0,33.9180714285714,420,0,24,0,Home
12434.0,14.913148148148148,54,84,24,0,Home
12435.0,246.23611111111117,36,79,24,0,Home
12436.0,28.600666666666665,15,99,24,0,Home
12437.0,24.934054054054045,185,1,24,0,Home
12438.0,26.27135416666667,96,13,24,0,Home
12441.0,15.705000000000002,10,366,24,0,Home
12442.0,12.441818181818183,11,2,24,0,Home
12444.0,23.732906976744186,172,20,24,0,Home
12445.0,25.8,3,21,24,0,Home
12446.0,17.489649122807016,57,57,24,0,Home
12447.0,17.3636,25,242,62,0,Home
12448.0,17.373809523809527,21,43,62,0,Home
12449.0,19.12176470588236,187,21,24,0,Home
12450.0,24.735,8,155,24,0,Home
12451.0,26.62203389830508,354,10,148,0,Home
12452.0,17.428500000000007,20,16,148,0,Home
12453.0,16.44395348837209,43,133,148,0,Home
12454.0,394.56666666666666,30,52,148,0,Home
12455.0,27.448705882352904,85,72,148,0,Home
12456.0,20.905476190476186,126,43,148,0,Home
12457.0,40.60281249999999,64,57,148,0,Home
12458.0,21.872222222222227,36,70,148,0,Home
12461.0,18.437647058823536,34,154,148,0,Home
12462.0,14.331000000000005,70,1,148,0,Home
12463.0,14.890722891566263,83,45,148,0,Home
12464.0,47.411363636363625,22,9,148,0,Home
12465.0,14.091632653061227,49,7,148,0,Home
12468.0,18.806315789473683,38,142,148,0,Home
12471.0,38.37819253438104,509,1,148,0,Home
12472.0,16.73770833333334,384,30,148,0,Home
12473.0,15.680297619047616,168,53,148,0,Home
12474.0,15.834807256235825,441,16,148,0,Home
12475.0,19.12514285714286,35,53,148,0,Home
12476.0,24.54886274509805,255,0,46,0,Home
12477.0,45.48964285714286,308,22,568,0,Home
12478.0,15.582571428571432,35,3,568,0,Home
12479.0,15.279411764705882,34,3,568,0,Home
12480.0,19.611000000000004,150,27,568,0,Home
12481.0,24.40057142857145,210,22,568,0,Home
12483.0,30.301527777777792,72,16,568,0,Home
12484.0,11.510202312138716,346,34,568,0,Home
12488.0,23.30703703703704,54,9,568,0,Home
12489.0,21.35214285714286,14,335,568,0,Home
12490.0,21.777489361702127,235,4,568,0,Home
12491.0,16.976000000000003,25,38,568,0,Home
12492.0,13.067222222222222,18,62,568,0,Home
12493.0,18.89,21,165,568,0,Home
12494.0,15.217532467532477,77,9,568,0,Home
12497.0,75.89999999999999,13,81,568,0,Home
12498.0,16.652380952380955,21,20,568,0,Home
12500.0,84.17981818181818,55,22,568,0,Home
12501.0,13.760503144654082,159,314,568,0,Home
12502.0,20.712323943661985,142,95,568,0,Home
12504.0,64.92142857142856,14,17,568,0,Home
12506.0,3.195652173913045,23,232,568,0,Home
12507.0,60.474000000000004,20,133,568,0,Home
12508.0,5.75463768115942,69,25,568,0,Home
12509.0,26.416666666666668,6,283,568,0,Home
12510.0,28.330645161290327,31,142,568,0,Home
12512.0,4.04794117647059,34,65,568,0,Home
12513.0,16.679714285714287,35,84,568,0,Home
12514.0,19.95450980392157,51,266,568,0,Home
12515.0,19.988,15,352,568,0,Home
12516.0,50.19916666666666,24,77,568,0,Home
12517.0,8.33643109540636,283,27,568,0,Home
12518.0,15.528151260504199,119,0,568,0,Home
12519.0,16.87294117647059,17,63,568,0,Home
12520.0,15.804333333333329,150,78,568,0,Home
12521.0,14.74810810810811,37,142,568,0,Home
12522.0,15.672000000000002,10,38,34,0,Home
12523.0,16.38764150943397,106,1,34,0,Home
12524.0,32.67558823529413,136,8,34,0,Home
12526.0,17.414411764705886,68,0,34,0,Home
12527.0,19.45352941176471,17,81,34,0,Home
12528.0,18.313932584269665,89,8,34,0,Home
12530.0,24.380156249999988,64,59,34,0,Home
